Sector number,Name,Unit,Region,DR_WEOH_impact_(DALYper$),TR_WEOH_impact_(DALYper$)
1,Oilseed farming,USA,America,8.39E-09,2.91E-08
2,Grain farming,USA,America,1.12E-08,4.61E-08
3,Vegetable and melon farming,USA,America,2.44E-08,4.88E-08
4,Fruit and tree nut farming,USA,America,5.54E-08,7.62E-08
5,"Greenhouse, nursery, and floriculture production",USA,America,3.48E-08,5.88E-08
6,Other crop farming,USA,America,6.13E-08,8.66E-08
7,Dairy cattle and milk production,USA,America,1.21E-07,1.53E-07
8,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",USA,America,7.20E-09,3.46E-08
9,Poultry and egg production,USA,America,2.23E-08,6.25E-08
10,"Animal production, except cattle and poultry and eggs",USA,America,3.96E-08,5.69E-08
11,Forestry and logging,USA,America,2.71E-08,5.92E-08
12,"Fishing, hunting and trapping",USA,America,7.12E-08,8.32E-08
13,Support activities for agriculture and forestry,USA,America,1.08E-07,1.21E-07
14,Oil and gas extraction,USA,America,2.21E-09,1.16E-08
15,Coal mining,USA,America,1.82E-08,3.23E-08
16,"Copper, nickel, lead, and zinc mining",USA,America,1.09E-08,2.65E-08
17,"Iron, gold, silver, and other metal ore mining",USA,America,6.76E-09,2.47E-08
18,Stone mining and quarrying,USA,America,3.24E-08,5.04E-08
19,Other nonmetallic mineral mining and quarrying,USA,America,2.45E-08,3.94E-08
20,Drilling oil and gas wells,USA,America,7.28E-09,1.93E-08
21,Other support activities for mining,USA,America,9.47E-09,2.34E-08
22,"Electric power generation, transmission, and distribution",USA,America,1.31E-08,2.53E-08
23,Natural gas distribution,USA,America,7.87E-09,1.93E-08
24,"Water, sewage and other systems",USA,America,5.18E-09,2.71E-08
25,Health care structures,USA,America,4.73E-08,6.84E-08
26,Educational and vocational structures,USA,America,4.73E-08,6.80E-08
27,Nonresidential maintenance and repair,USA,America,4.71E-08,7.54E-08
28,Residential maintenance and repair,USA,America,4.71E-08,7.83E-08
29,Office and commercial structures,USA,America,4.73E-08,7.01E-08
30,Multifamily residential structures,USA,America,4.73E-08,5.88E-08
31,Other residential structures,USA,America,4.71E-08,7.50E-08
32,Manufacturing structures,USA,America,4.73E-08,6.98E-08
33,Other nonresidential structures,USA,America,4.73E-08,7.50E-08
34,Power and communication structures,USA,America,4.73E-08,6.30E-08
35,Single-family residential structures,USA,America,4.73E-08,6.86E-08
36,Transportation structures and highways and streets,USA,America,4.73E-08,6.84E-08
37,Sawmills and wood preservation,USA,America,7.64E-08,1.24E-07
38,"Veneer, plywood, and engineered wood product manufacturing",USA,America,5.52E-08,1.01E-07
39,Millwork,USA,America,5.65E-08,1.05E-07
40,All other wood product manufacturing,USA,America,1.15E-07,1.56E-07
41,Clay product and refractory manufacturing,USA,America,5.92E-08,8.31E-08
42,Glass and glass product manufacturing,USA,America,2.13E-08,4.36E-08
43,Cement manufacturing,USA,America,1.33E-08,3.40E-08
44,Ready-mix concrete manufacturing,USA,America,4.62E-08,7.18E-08
45,"Concrete pipe, brick, and block manufacturing",USA,America,5.81E-08,8.76E-08
46,Other concrete product manufacturing,USA,America,7.71E-08,1.04E-07
47,Lime and gypsum product manufacturing,USA,America,2.81E-08,4.90E-08
48,Abrasive product manufacturing,USA,America,1.42E-08,2.86E-08
49,Cut stone and stone product manufacturing,USA,America,1.08E-07,1.34E-07
50,Ground or treated mineral and earth manufacturing,USA,America,2.70E-08,4.73E-08
51,Mineral wool manufacturing,USA,America,8.68E-09,3.02E-08
52,Miscellaneous nonmetallic mineral products,USA,America,1.83E-08,3.94E-08
53,Iron and steel mills and ferroalloy manufacturing,USA,America,1.58E-09,2.47E-08
54,Steel product manufacturing from purchased steel,USA,America,1.72E-08,4.07E-08
55,Alumina refining and primary aluminum production,USA,America,1.21E-08,3.81E-08
56,Aluminum product manufacturing from purchased aluminum,USA,America,1.45E-08,4.46E-08
57,Nonferrous Metal (except Aluminum) Smelting and Refining,USA,America,2.95E-09,2.45E-08
58,"Copper rolling, drawing, extruding and alloying",USA,America,2.47E-08,5.78E-08
59,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",USA,America,1.57E-08,4.09E-08
